X,Y,Attention
1829,7204,-2.125864267349243
2085,36,-0.20762522518634796
2085,292,-1.3038103580474854
2085,548,-1.2502834796905518
2085,804,-5.155669689178467
2085,1060,-1.1766207218170166
2085,1316,-5.742094993591309
2085,1572,-6.196577548980713
2085,1828,-7.483916759490967
2085,2084,-1.4369333982467651
2085,2340,-1.773845911026001
2085,2596,-2.686002254486084
2085,2852,-4.528484344482422
2085,3108,-7.487131595611572
2085,3364,-1.3274192810058594
2085,3620,-3.276113510131836
2085,3876,-4.1297526359558105
2085,4132,-3.352090835571289
2085,4388,-3.5601673126220703
2085,4644,-3.041829824447632
2085,4900,-2.8430018424987793
2085,5156,-3.731739044189453
2085,5412,-4.4913716316223145
2085,5668,-4.345968723297119
2085,5924,-4.23668098449707
2085,6180,-3.0693352222442627
2085,6436,-3.0941925048828125
2085,6692,-3.9391112327575684
2085,6948,-5.14763879776001
2085,7204,-5.063785076141357
2085,7460,-5.600330829620361
2341,36,-5.597621440887451
2341,292,-8.192598342895508
2341,548,-2.770023822784424
2341,804,-2.8529374599456787
2341,1060,-4.887765884399414
2341,1316,-7.745675086975098
2341,1572,-6.751007080078125
2341,1828,-7.4457173347473145
2341,2084,-0.06816946715116501
2341,2340,-2.4009015560150146
2341,2596,-1.6685458421707153
2341,2852,-2.9936769008636475
2341,3108,-8.712514877319336
2341,3364,-2.0531857013702393
2341,3620,-0.8669936060905457
2341,3876,-1.3966423273086548
2341,4132,-2.1552629470825195
2341,4388,-2.2062196731567383
2341,4644,-2.0834219455718994
2341,4900,-2.073542356491089
2341,5156,-1.6501322984695435
2341,5412,-1.864009976387024
2341,5668,-1.6814135313034058
2341,5924,-1.6263792514801025
2341,6180,-2.5201542377471924
2341,6436,-3.3156089782714844
2341,6692,-2.838702917098999
2341,6948,-3.3905134201049805
2341,7204,-5.305885314941406
2341,7460,-5.003540515899658
2341,7716,-4.814853191375732
2597,36,-1.8415635824203491
2597,292,-1.8802701234817505
2597,548,-5.35099983215332
2597,804,-6.4821600914001465
2597,1060,-5.973869323730469
2597,1316,-3.4072165489196777
2597,1572,-8.035791397094727
2597,1828,-4.930582046508789
2597,2084,-4.1649861335754395
2597,2340,-1.8233671188354492
2597,2596,-1.1963993310928345
2597,2852,-1.2202837467193604
2597,3108,-6.663414478302002
2597,3364,-1.9521018266677856
2597,3620,-0.9900609254837036
2597,3876,-0.9563565254211426
2597,4132,-0.8044449687004089
2597,4388,-0.7229852080345154
2597,4644,-0.7189702391624451
2597,4900,-0.6364973783493042
2597,5156,-0.5950067043304443
2597,5412,-0.5707341432571411
2597,5668,-0.5437040328979492
2597,5924,-0.6883241534233093
2597,6180,-0.8009359836578369
2597,6436,-1.1758828163146973
2597,6692,-2.3092877864837646
2597,6948,-2.7735023498535156
2597,7204,-3.3878204822540283
2597,7460,-5.59022855758667
2597,7716,-6.253978252410889
2853,36,-5.654626369476318
2853,292,-3.36708927154541
2853,548,-3.5871098041534424
2853,804,-8.222826957702637
2853,1060,-1.233443021774292
2853,1316,-1.1965798139572144
2853,1572,-8.300741195678711
2853,1828,-5.516369819641113
2853,2084,-5.511316776275635
2853,2340,-1.0874292850494385
2853,2596,-1.2541121244430542
2853,2852,-1.3083500862121582
2853,3108,-1.0967868566513062
2853,3364,-1.1526353359222412
2853,3620,-1.2677546739578247
2853,3876,-0.6814868450164795
2853,4132,-0.8777219653129578
2853,4388,-0.7448310852050781
2853,4644,-0.6411698460578918
2853,4900,-0.6022278070449829
2853,5156,-0.6026503443717957
2853,5412,-0.6205938458442688
2853,5668,-0.6000326871871948
2853,5924,-0.7459484338760376
2853,6180,-0.5791798233985901
2853,6436,-0.6218336820602417
2853,6692,-1.071104645729065
2853,6948,-2.6647846698760986
2853,7204,-3.0235719680786133
2853,7460,-4.412444591522217
2853,7716,-5.5507402420043945
3109,36,-4.652512550354004
3109,292,-8.37073040008545
3109,548,-1.245267629623413
3109,804,-4.352048873901367
3109,1060,-1.2559252977371216
3109,1316,-2.4220685958862305
3109,1572,-6.726071834564209
3109,1828,-6.720269680023193
3109,2084,-5.485305309295654
3109,2340,-0.638498067855835
3109,2596,-1.3093723058700562
3109,2852,-1.0628453493118286
3109,3108,-0.8135935664176941
3109,3364,-1.1189699172973633
3109,3620,-1.7737858295440674
3109,3876,-1.0299497842788696
3109,4132,-0.8138635754585266
3109,4388,-0.8167959451675415
3109,4644,-0.8208356499671936
3109,4900,-0.7844434976577759
3109,5156,-0.8472762107849121
3109,5412,-0.8224211931228638
3109,5668,-0.7110332250595093
3109,5924,-0.7873956561088562
3109,6180,-0.7892552018165588
3109,6436,-0.7673000693321228
3109,6692,-0.7641218900680542
3109,6948,-1.8302041292190552
3109,7204,-3.066901445388794
3109,7460,-4.057303428649902
3109,7716,-5.897416591644287
3365,36,0.19442631304264069
